"entity","code","year","nitrogen_kg_ha","region_label"
"Eastern Asia (FAO)","",1978,97.42,"Eastern Asia"
"Eastern Asia (FAO)","",1979,109.98,"Eastern Asia"
"Eastern Asia (FAO)","",1980,122.09,"Eastern Asia"
"Eastern Asia (FAO)","",1981,116.35,"Eastern Asia"
"Eastern Asia (FAO)","",1982,116.96,"Eastern Asia"
"Eastern Asia (FAO)","",1983,123.93,"Eastern Asia"
"Eastern Asia (FAO)","",1984,128.81,"Eastern Asia"
"Eastern Asia (FAO)","",1985,112.55,"Eastern Asia"
"Eastern Asia (FAO)","",1986,109.51,"Eastern Asia"
"Eastern Asia (FAO)","",1987,132.06,"Eastern Asia"
"Eastern Asia (FAO)","",1988,143.41,"Eastern Asia"
"Eastern Asia (FAO)","",1989,144.73,"Eastern Asia"
"Eastern Asia (FAO)","",1990,147.99,"Eastern Asia"
"Eastern Asia (FAO)","",1991,149.4,"Eastern Asia"
"Eastern Asia (FAO)","",1992,153.77,"Eastern Asia"
"Eastern Asia (FAO)","",1993,138.12,"Eastern Asia"
"Eastern Asia (FAO)","",1994,143.76,"Eastern Asia"
"Eastern Asia (FAO)","",1995,174.67,"Eastern Asia"
"Eastern Asia (FAO)","",1996,185.06,"Eastern Asia"
"Eastern Asia (FAO)","",1997,169.68,"Eastern Asia"
"Eastern Asia (FAO)","",1998,168.51,"Eastern Asia"
"Eastern Asia (FAO)","",1999,177.66,"Eastern Asia"
"Eastern Asia (FAO)","",2000,163.55,"Eastern Asia"
"Eastern Asia (FAO)","",2001,164.8,"Eastern Asia"
"Eastern Asia (FAO)","",2002,183.11,"Eastern Asia"
"Eastern Asia (FAO)","",2003,183.3,"Eastern Asia"
"Eastern Asia (FAO)","",2004,190.31,"Eastern Asia"
"Eastern Asia (FAO)","",2005,192.33,"Eastern Asia"
"Eastern Asia (FAO)","",2006,195.16,"Eastern Asia"
"Eastern Asia (FAO)","",2007,199.65,"Eastern Asia"
"Eastern Asia (FAO)","",2008,200.43,"Eastern Asia"
"Eastern Asia (FAO)","",2009,203.26,"Eastern Asia"
"Eastern Asia (FAO)","",2010,208.72,"Eastern Asia"
"Eastern Asia (FAO)","",2011,214.14,"Eastern Asia"
"Eastern Asia (FAO)","",2012,218.52,"Eastern Asia"
"Eastern Asia (FAO)","",2013,220.79,"Eastern Asia"
"Eastern Asia (FAO)","",2014,223.17,"Eastern Asia"
"Eastern Asia (FAO)","",2015,222.65,"Eastern Asia"
"Eastern Asia (FAO)","",2016,221.51,"Eastern Asia"
"Eastern Asia (FAO)","",2017,216.73,"Eastern Asia"
"Eastern Asia (FAO)","",2018,208.3,"Eastern Asia"
"Eastern Asia (FAO)","",2019,198.41,"Eastern Asia"
"Eastern Asia (FAO)","",2020,191.58,"Eastern Asia"
"Eastern Asia (FAO)","",2021,186.9,"Eastern Asia"
"Eastern Asia (FAO)","",2022,182.25,"Eastern Asia"
"Eastern Asia (FAO)","",2023,182.99,"Eastern Asia"
"Europe (FAO)","",1961,12.61,"Europe"
"Europe (FAO)","",1962,13.71,"Europe"
"Europe (FAO)","",1963,15.44,"Europe"
"Europe (FAO)","",1964,17.78,"Europe"
"Europe (FAO)","",1965,20.62,"Europe"
"Europe (FAO)","",1966,23.37,"Europe"
"Europe (FAO)","",1967,26.29,"Europe"
"Europe (FAO)","",1968,29.24,"Europe"
"Europe (FAO)","",1969,31.13,"Europe"
"Europe (FAO)","",1970,34.68,"Europe"
"Europe (FAO)","",1971,37.9,"Europe"
"Europe (FAO)","",1972,40.08,"Europe"
"Europe (FAO)","",1973,43.22,"Europe"
"Europe (FAO)","",1974,44.47,"Europe"
"Europe (FAO)","",1975,48.56,"Europe"
"Europe (FAO)","",1976,48.98,"Europe"
"Europe (FAO)","",1977,50.61,"Europe"
